FIPS,POP_ESTIMATE_2018,R_NET_MIG_2018
17081,37820,-8.6
17083,21847,-2.5
17085,21366,-3.7
17087,12456,4.8
17089,534216,-3.8
17091,110024,-5.8
17093,127915,5.2
17095,50112,-9.5
17097,700832,-7
17099,109430,-2.2
17101,15765,-10.6
17103,34223,-6.1
17105,35761,-10.2
17107,28925,-2.3
17109,29955,-11
17111,308570,-1.1
17113,172828,-4.3
17115,104712,-8.7
17117,45313,-2
17119,264461,-4.1
17121,37620,-7.2
17123,11534,-10.3
17125,13565,-5.7
17127,14080,-14.4
17129,12288,1.4
17131,15601,0.5
17133,34335,4.7
17135,28601,-1.4
17137,33976,-5
17139,14717,-2.8
17141,50923,-3.4
17143,180621,-13.9
17145,21174,-4.8
17147,16396,-4.8
17149,15611,-4.5
17151,4212,5.7
17153,5463,-16.5
17155,5740,6.3
17157,32106,-2.7
17159,15763,-6.5
17161,143477,-7.3
17163,261059,-6.7
17165,23906,-4.6
17167,195348,-7.9
17169,6907,-7.1
17171,4926,-9.3
17173,21741,-0.5
17175,5427,-5
17177,44753,-2.6
17179,132328,-8
17181,16841,-5.1
17183,76806,-13
17185,11549,-2.5
17187,17032,-9.5
17189,13995,2.9
17191,16332,-5.6
17193,13665,-14.8
17195,55626,-5
17197,692310,-2.4
17199,67056,0.1
17201,284081,-5.1
17203,38463,-5.7
18000,6691878,1.9
18001,35636,-5.5
18003,375351,3.3
18005,82753,0
18007,8653,0.6
18009,11930,-5.3
18011,66999,12.7
18013,15234,18.5
18015,20127,3
18017,37955,-0.2
18019,117360,3.8
18021,26170,0.2
18023,32250,-2.4
18025,10558,4.1
18027,33147,-3.5
18029,49568,-2
18031,26794,2
18033,43226,6.6
18035,114772,-5
18037,42565,-1.9
18039,205560,-0.7
18041,23047,-1.3
18043,77781,8.8
18045,16351,-2.3
18047,22736,-1.9
18049,20092,2.9
18051,33452,-5.7
18053,65936,-2.9
18055,32006,-2
18057,330086,15.3
18059,76351,16.5
18061,40350,10.4
18063,167009,15.8
18065,48271,2.5
18067,82366,0.4
18069,36240,-0.6
18071,44111,-0.8
18073,33370,-3.9
18075,20764,-8.8
18077,32208,4.2
18079,27611,-0.9
18081,156225,10.9
18083,36895,-6.6
18085,79344,0.6
18087,39330,-8.7
18089,484411,-1.5
18091,110007,0.7
18093,45668,2.5
18095,129641,1.4
18097,954670,-0.1
18099,46248,-6.4
18101,10217,1.8
18103,35567,-6.1
18105,146917,-1
18107,38346,-3
18109,70116,2.8
18111,14011,-2.5
18113,47532,0.4
18115,5844,3.9
18117,19489,4.7
18119,20845,5.2
18121,16927,0.3
18123,19102,4.9
18125,12410,7.1
18127,169594,5.8
18129,25540,-1
18131,12469,-3.3
18133,37779,3
18135,24851,-4.4
18137,28523,-0.1
18139,16663,-0.5
18141,270771,-0.8
18143,23878,2.1
18145,44593,3.4
18147,20327,-2.2
18149,22935,0.7
18151,34586,3
18153,20690,0.2
18155,10717,3.4
18157,193048,1.2
18159,15128,-0.5
18161,7037,-17.3
18163,180974,-1
18165,15479,2.8
18167,107386,-3.4
18169,31280,-2.2
18171,8263,8.5
18173,62567,0.6
18175,27943,5.3
18177,65936,-1.1
18179,28206,2.7
18181,24133,-1.9
18183,34074,6.2
19000,3156145,0.9
19001,7063,2.3
19003,3645,-1.9
19005,13832,1.2
19007,12437,7.8
19009,5506,-11
19011,25642,-1.8
19013,132408,-3.4
19015,26346,-3.8
19017,24947,3.7
19019,21199,-0.8
19021,19874,-19.1
19023,14539,0.3
19025,9699,-2.3
19027,20154,-5.8
19029,12930,-12
19031,18627,3.8
19033,42647,-6.6
19035,11321,1.2
19037,11964,-8.2
19039,9423,7.1
19041,16134,-2.5
19043,17556,-4.7
19045,46518,-8.6
19047,17158,-2.6
19049,90180,24.2
19051,9017,-7
19053,7890,-8
19055,17069,-6.3
19057,39138,-4.8
19059,17153,1.5
19061,96854,-4.1
19063,9253,-16.3
19065,19660,-1.5
19067,15761,-0.2
19069,10124,-5
19071,6993,5.9
19073,8981,1.7
19075,12304,-1.6
19077,10720,6.6
19079,14952,-8.3
19081,10712,-4.7
19083,16868,-4.4
19085,14134,0.2
19087,20067,-1
19089,9187,-2.8
19091,9547,-2.4
19093,6841,2.8
19095,16141,1.7
19097,19432,3.5
19099,37147,4.1
19101,18381,9.9
19103,151260,6.5
19105,20744,2.8
19107,10225,6.9
19109,14908,-4.6
19111,34055,-5.6
19113,225909,2.8
19115,11169,-4.6
19117,8645,8.3
19119,11811,-3.3
19121,16249,12.4
19123,22000,-10.3
19125,33407,8.2
19127,39981,-5.8
19129,15063,-0.4
19131,10569,2.3
19133,8679,-2.8
19135,7790,-2.3
19137,10003,-9.4
19139,42929,-2.9
19141,13840,2.8
19143,6040,-1.7
19145,15249,1.5
19147,8929,-13.8
19149,25095,-1.2
19151,6740,-14.1
19153,487204,5.9
19155,93533,-2
19157,18699,9.2
19159,4968,-13
19161,9719,-6.8
19163,173283,-0.1
19165,11578,2.1
19167,34909,-4.5
19169,98105,4.8
19171,16904,-10.8
19173,6191,8.8
19175,12359,-11.1
19177,7020,-20.6
19179,35205,0.9
19181,51056,16.1
19183,22141,-8.1
19185,6401,-14
19187,36277,-10.3
19189,10518,-6.5
19191,20029,-4.7
19193,102539,-0.6
19195,7453,-3.9
19197,12690,-4.4
20000,2911505,-3.6
20001,12444,-3
20003,7878,1.4
20005,16193,-8.2
20007,4472,-23.9
20009,26111,-12.5
20011,14653,-4.1
20013,9598,-0.4
20015,66765,-2.7
20017,2629,-16.6
20019,3309,0
20021,20015,-2.5
20023,2660,-12
20025,2005,1
20027,7997,-2.5
20029,8729,-18.7
20031,8233,-0.6
20033,1748,-8
20035,35218,-3
20037,39019,-2.7
20039,2871,0
20041,18717,-7.1
20043,7682,2.6
20045,121436,2.7
20047,2849,-16.4
20049,2508,-5.2
20051,28710,-5.4
20053,6196,-16.6
20055,36611,-17.8
20057,33888,-23.2
20059,25631,-2.4
20061,32594,-51.7
20063,2612,-5.7
20065,2492,3.6
20067,7336,-34.5
20069,6033,0.2
20071,1227,-6.5
20073,6055,-4.6
20075,2607,-11.5
20077,5506,-7
20079,34210,-6.5
20081,3997,-15.7
20083,1818,-16.9
20085,13280,-5.6
20087,18975,-3.4
20089,2841,-3.5
20091,597555,5.2
20093,3943,-8.1
20095,7310,3.8
20097,2516,0.8
20099,19964,-12
20101,1560,10.3
20103,81352,-0.4
20105,3023,-8.9
20107,9750,8.7
20109,2844,-4.9
20111,33406,-2.1
20113,28537,-3.4
20115,11950,0.1
20117,9722,2.6
20119,4146,-32.8
20121,33680,6.6
20123,6150,-4.4
20125,32120,-8.3
20127,5521,12.7
20129,2667,-27
20131,10155,1.1
20133,15951,-6.9
20135,2840,-12.2
20137,5430,-0.2
20139,15941,8.6
20141,3475,-20.8
20143,5802,-5.2
20145,6562,-14.7
20147,5317,-15.1
20149,24277,4.3
20151,9378,-16.9
20153,2508,4.8
20155,62342,-4.7
20157,4664,1.7
20159,9531,-7.6
20161,73703,-11.4
20163,5013,-8.9
20165,3093,6.2
20167,6907,-1
20169,54401,-4.7
20171,4897,-8.3
20173,513607,-4.3
20175,21780,-32.1
20177,177499,-5.5
20179,2533,-4.3
20181,5899,-7.6
20183,3603,-8
20185,4178,-6.7
20187,1987,-21.9
20189,5559,-9
20191,22996,-4.3
20193,7711,-23
20195,2793,-13.8
20197,6899,6.8
20199,1503,-25.8
20201,5420,-5.3
20203,2105,-13.2
20205,8665,-4.5
20207,3183,15.5
20209,165324,-7
21000,4468402,1.5
21001,19215,-2.6
21003,21122,10.7
21005,22663,3.6
21007,7979,-0.4
21009,44176,7.5
21011,12383,0.8
21013,26569,-11.4
21015,131533,2
21017,20184,2.7
21019,47240,-8.5
21021,30100,4.9
21023,8239,-1.5
21025,12726,-11.2
21027,20388,9.5
21029,81069,7.5
21031,12772,-3.6
21033,12715,3.9
21035,39135,7.7
21037,93152,4.5
21039,4771,-12.5
21041,10737,-2
21043,27004,-6
21045,15888,6.7
21047,71671,-5.6
21049,36249,7.3
21051,20105,-7.6
21053,10206,-2.9
21055,8915,-9.8
21057,6659,2.1
21059,101104,2.7
21061,12274,4.4
21063,7508,-0.3
21065,14198,1.3
21067,323780,-0.2
21069,14432,0.1
21071,35845,-7.8
21073,50815,5.4
21075,6120,-11.2
21077,8832,5.1
21079,17560,2.9
21081,25121,-1
21083,37317,1.5
21085,26321,2.5
21087,11049,-0.7
21089,35268,-2.2
21091,8758,-6
21093,110356,15.4
21095,26409,-9.6
21097,18778,1.8
21099,18906,4.8
21101,45591,-8.8
21103,16106,5.7
21105,4421,-16.5
21107,45068,-5
21109,13442,1.4
21111,770517,-2.4
21113,53920,7.6
21115,22386,-4.9
21117,166051,-0.8
21119,15126,-7.4
21121,31304,-3.8
21123,14307,6.1
21125,60669,4.9
